 name:     yttrium barium copper oxide ( 123 ,  ybco)             Feff  7.023
 formula:  YBa2Cu3O7
 sites:    Y1,Ba1,Cu1,Cu2,O1-4
 refer1:   Sharma, et al, Physica C 174, p.409, (1991)
 refer2:   Cava,  et al,  Physica C 165, p.419, (1990)
 notes:    high-temperature superconductor
 Abs   Z=29 Rmt= 1.003 Rnm= 1.266 K  shell
 Pot 1 Z= 8 Rmt= 0.960 Rnm= 1.125
 Pot 2 Z=56 Rmt= 1.770 Rnm= 1.956
 Pot 3 Z=29 Rmt= 1.003 Rnm= 1.266
 Pot 4 Z=39 Rmt= 1.474 Rnm= 1.805
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.406E+00 kf=1.838E+00 Vint=-1.828E+01 Rs_int= 1.973
 S02  1.000  Temp   30.00  Debye temp  210.00  Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    8985.533     -5.642  -0.150  1.82589E-01  2.60136E-01 -2.98100E-01
    8985.587     -5.588  -0.100  1.89637E-01  2.71006E-01 -3.00249E-01
    8985.640     -5.535  -0.050  1.96935E-01  2.82159E-01 -3.02043E-01
    8985.694     -5.481   0.000  2.04455E-01  2.93528E-01 -3.03456E-01
    8985.748     -5.427   0.050  2.12165E-01  3.05041E-01 -3.04471E-01
    8985.801     -5.374   0.100  2.20027E-01  3.16621E-01 -3.05078E-01
    8985.875     -5.300   0.150  2.31046E-01  3.32558E-01 -3.05244E-01
    8985.973     -5.203   0.200  2.45672E-01  3.53133E-01 -3.04306E-01
    8986.070     -5.105   0.250  2.60259E-01  3.72933E-01 -3.02131E-01
    8986.167     -5.008   0.300  2.74631E-01  3.91672E-01 -2.98825E-01
    8986.264     -4.911   0.350  2.88674E-01  4.09177E-01 -2.94501E-01
    8986.386     -4.789   0.400  3.05749E-01  4.29307E-01 -2.87808E-01
    8986.560     -4.615   0.450  3.28949E-01  4.54531E-01 -2.76290E-01
    8986.734     -4.442   0.500  3.50909E-01  4.76187E-01 -2.63086E-01
    8986.929     -4.246   0.550  3.74217E-01  4.97050E-01 -2.47124E-01
    8987.152     -4.024   0.600  3.98983E-01  5.17279E-01 -2.28690E-01
    8987.382     -3.793   0.650  4.22576E-01  5.35240E-01 -2.10492E-01
