 name:     yttrium barium copper oxide ( 123 ,  ybco)             Feff  7.023
 formula:  YBa2Cu3O7
 sites:    Y1,Ba1,Cu1,Cu2,O1-4
 refer1:   Sharma, et al, Physica C 174, p.409, (1991)
 refer2:   Cava,  et al,  Physica C 165, p.419, (1990)
 notes:    high-temperature superconductor
 Abs   Z=29 Rmt= 1.003 Rnm= 1.266 K  shell
 Pot 1 Z= 8 Rmt= 0.960 Rnm= 1.125
 Pot 2 Z=56 Rmt= 1.770 Rnm= 1.956
 Pot 3 Z=29 Rmt= 1.003 Rnm= 1.266
 Pot 4 Z=39 Rmt= 1.474 Rnm= 1.805
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.406E+00 kf=1.838E+00 Vint=-1.828E+01 Rs_int= 1.973
 S02  1.000  Temp   30.00  Debye temp  210.00  Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    9459.668    468.488  11.150  9.46309E-01  9.57956E-01 -1.21586E-02
    9463.899    472.719  11.200  9.47182E-01  9.57461E-01 -1.07366E-02
    9468.130    476.950  11.250  9.50282E-01  9.56964E-01 -6.98223E-03
    9472.361    481.181  11.300  9.55105E-01  9.56462E-01 -1.41820E-03
    9476.592    485.413  11.350  9.60483E-01  9.55933E-01  4.75989E-03
    9481.163    489.984  11.400  9.65018E-01  9.55154E-01  1.03266E-02
    9485.775    494.596  11.450  9.67477E-01  9.54316E-01  1.37919E-02
    9490.387    499.208  11.500  9.67262E-01  9.53470E-01  1.44650E-02
    9494.999    503.821  11.550  9.64461E-01  9.52622E-01  1.24271E-02
    9499.611    508.433  11.600  9.59844E-01  9.51773E-01  8.48032E-03
    9504.223    513.045  11.650  9.54576E-01  9.50923E-01  3.84142E-03
    9508.835    517.657  11.700  9.49792E-01  9.50072E-01 -2.94179E-04
    9513.447    522.269  11.750  9.46237E-01  9.49220E-01 -3.14228E-03
    9518.059    526.881  11.800  9.44070E-01  9.48368E-01 -4.53183E-03
    9522.671    531.493  11.850  9.42915E-01  9.47516E-01 -4.85526E-03
    9527.283    536.105  11.900  9.42114E-01  9.46663E-01 -4.80505E-03
    9531.895    540.717  11.950  9.41066E-01  9.45810E-01 -5.01610E-03
    9536.507    545.329  12.000  9.39510E-01  9.44957E-01 -5.76442E-03
    9541.119    549.942  12.050  9.37644E-01  9.44104E-01 -6.84276E-03
    9545.731    554.554  12.100  9.36028E-01  9.43251E-01 -7.65735E-03
    9550.343    559.166  12.150  9.35331E-01  9.42398E-01 -7.49840E-03
    9554.955    563.778  12.200  9.36019E-01  9.41544E-01 -5.86860E-03
    9559.567    568.390  12.250  9.38120E-01  9.40691E-01 -2.73336E-03
    9564.179    573.002  12.300  9.41161E-01  9.39837E-01  1.40836E-03
    9568.791    577.614  12.350  9.44299E-01  9.38984E-01  5.66024E-03
    9573.403    582.226  12.400  9.46590E-01  9.38131E-01  9.01734E-03
    9578.015    586.838  12.450  9.47302E-01  9.37278E-01  1.06956E-02
    9582.627    591.450  12.500  9.46143E-01  9.36425E-01  1.03782E-02
    9587.239    596.063  12.550  9.43330E-01  9.35572E-01  8.29283E-03
    9591.851    600.675  12.600  9.39487E-01  9.34720E-01  5.10016E-03
    9596.463    605.287  12.650  9.35407E-01  9.33868E-01  1.64758E-03
    9601.075    609.899  12.700  9.31793E-01  9.33018E-01 -1.31260E-03
    9605.687    614.511  12.750  9.29061E-01  9.32170E-01 -3.33564E-03
    9610.299    619.123  12.800  9.27268E-01  9.31328E-01 -4.35846E-03
    9614.911    623.735  12.850  9.26208E-01  9.30515E-01 -4.62891E-03
    9619.949    628.773  12.900  9.25670E-01  9.29887E-01 -4.53476E-03
    9625.038    633.861  12.950  9.25263E-01  9.29317E-01 -4.36228E-03
    9630.126    638.950  13.000  9.24820E-01  9.28753E-01 -4.23512E-03
    9635.215    644.038  13.050  9.24424E-01  9.28192E-01 -4.05930E-03
    9640.303    649.126  13.100  9.24291E-01  9.27632E-01 -3.60256E-03
    9645.392    654.215  13.150  9.24624E-01  9.27074E-01 -2.64184E-03
    9650.480    659.303  13.200  9.25490E-01  9.26515E-01 -1.10717E-03
    9655.569    664.391  13.250  9.26739E-01  9.25958E-01  8.43663E-04
    9660.657    669.480  13.300  9.28039E-01  9.25400E-01  2.85207E-03
    9665.746    674.568  13.350  9.28981E-01  9.24843E-01  4.47528E-03
    9670.834    679.657  13.400  9.29223E-01  9.24285E-01  5.34261E-03
    9675.923    684.745  13.450  9.28611E-01  9.23728E-01  5.28649E-03
    9681.011    689.833  13.500  9.27229E-01  9.23171E-01  4.39564E-03
    9686.100    694.922  13.550  9.25356E-01  9.22614E-01  2.97167E-03
    9691.188    700.010  13.600  9.23358E-01  9.22057E-01  1.41044E-03
    9696.277    705.098  13.650  9.21555E-01  9.21501E-01  5.91187E-05
    9701.365    710.187  13.700  9.20121E-01  9.20944E-01 -8.93308E-04
    9706.454    715.275  13.750  9.19052E-01  9.20387E-01 -1.45105E-03
    9711.542    720.363  13.800  9.18208E-01  9.19831E-01 -1.76427E-03
    9716.631    725.452  13.850  9.17415E-01  9.19277E-01 -2.02499E-03
    9722.060    730.881  13.900  9.16523E-01  9.18703E-01 -2.37247E-03
    9727.529    736.350  13.950  9.15564E-01  9.18128E-01 -2.79278E-03
    9732.999    741.819  14.000  9.14674E-01  9.17554E-01 -3.13903E-03
    9738.468    747.288  14.050  9.14057E-01  9.16980E-01 -3.18788E-03
    9743.938    752.758  14.100  9.13890E-01  9.16406E-01 -2.74646E-03
    9749.407    758.227  14.150  9.14226E-01  9.15833E-01 -1.75454E-03
    9754.877    763.696  14.200  9.14952E-01  9.15259E-01 -3.35490E-04
    9760.346    769.166  14.250  9.15807E-01  9.14685E-01  1.22690E-03
    9765.816    774.635  14.300  9.16467E-01  9.14111E-01  2.57748E-03
    9771.285    780.104  14.350  9.16651E-01  9.13537E-01  3.40948E-03
    9776.755    785.574  14.400  9.16219E-01  9.12962E-01  3.56729E-03
    9782.224    791.043  14.450  9.15210E-01  9.12388E-01  3.09265E-03
    9787.694    796.512  14.500  9.13817E-01  9.11813E-01  2.19784E-03
    9793.163    801.981  14.550  9.12313E-01  9.11238E-01  1.17916E-03
    9798.633    807.451  14.600  9.10943E-01  9.10663E-01  3.06920E-04
    9804.102    812.920  14.650  9.09847E-01  9.10087E-01 -2.64302E-04
    9809.572    818.389  14.700  9.09027E-01  9.09511E-01 -5.31929E-04
    9815.041    823.859  14.750  9.08371E-01  9.08933E-01 -6.17975E-04
    9820.511    829.328  14.800  9.07721E-01  9.08352E-01 -6.94105E-04
    9825.980    834.797  14.850  9.06942E-01  9.07752E-01 -8.92068E-04
    9831.790    840.607  14.900  9.05792E-01  9.06930E-01 -1.25449E-03
    9837.640    846.458  14.950  9.04527E-01  9.06059E-01 -1.69141E-03
    9843.490    852.308  15.000  9.03339E-01  9.05185E-01 -2.03906E-03
    9849.340    858.158  15.050  9.02391E-01  9.04309E-01 -2.12105E-03
    9855.190    864.009  15.100  9.01785E-01  9.03432E-01 -1.82267E-03
    9861.040    869.859  15.150  9.01522E-01  9.02554E-01 -1.14332E-03
    9866.890    875.709  15.200  9.01492E-01  9.01677E-01 -2.04636E-04
    9872.740    881.560  15.250  9.01508E-01  9.00799E-01  7.88133E-04
    9878.590    887.410  15.300  9.01373E-01  8.99920E-01  1.61483E-03
    9884.440    893.260  15.350  9.00940E-01  8.99042E-01  2.11171E-03
    9890.290    899.111  15.400  9.00156E-01  8.98163E-01  2.21821E-03
    9896.140    904.961  15.450  8.99064E-01  8.97285E-01  1.98318E-03
    9901.990    910.811  15.500  8.97779E-01  8.96406E-01  1.53166E-03
    9907.840    916.662  15.550  8.96431E-01  8.95528E-01  1.00887E-03
    9913.690    922.512  15.600  8.95120E-01  8.94649E-01  5.25770E-04
    9919.540    928.362  15.650  8.93885E-01  8.93771E-01  1.27759E-04
    9925.390    934.213  15.700  8.92712E-01  8.92893E-01 -2.03035E-04
    9931.240    940.063  15.750  8.91555E-01  8.92016E-01 -5.16803E-04
    9937.090    945.914  15.800  8.90380E-01  8.91140E-01 -8.53101E-04
    9942.940    951.764  15.850  8.89200E-01  8.90274E-01 -1.20664E-03
    9949.131    957.955  15.900  8.88092E-01  8.89457E-01 -1.53485E-03
    9955.363    964.186  15.950  8.87125E-01  8.88658E-01 -1.72512E-03
    9961.595    970.417  16.000  8.86367E-01  8.87860E-01 -1.68237E-03
    9967.827    976.649  16.050  8.85854E-01  8.87063E-01 -1.36347E-03
    9974.059    982.880  16.100  8.85556E-01  8.86267E-01 -8.01769E-04
    9980.291    989.111  16.150  8.85380E-01  8.85471E-01 -1.03004E-04
    9986.523    995.343  16.200  8.85194E-01  8.84675E-01  5.86936E-04
    9992.755   1001.574  16.250  8.84877E-01  8.83879E-01  1.12922E-03
    9998.987   1007.805  16.300  8.84351E-01  8.83083E-01  1.43523E-03
   10005.219   1014.037  16.350  8.83602E-01  8.82288E-01  1.48895E-03
   10011.451   1020.268  16.400  8.82675E-01  8.81492E-01  1.34126E-03
   10017.683   1026.499  16.450  8.81649E-01  8.80697E-01  1.08055E-03
   10023.915   1032.730  16.500  8.80600E-01  8.79902E-01  7.93357E-04
   10030.147   1038.962  16.550  8.79575E-01  8.79107E-01  5.32227E-04
   10036.379   1045.193  16.600  8.78579E-01  8.78312E-01  3.03275E-04
   10042.611   1051.424  16.650  8.77586E-01  8.77518E-01  7.70579E-05
   10048.843   1057.656  16.700  8.76563E-01  8.76724E-01 -1.84188E-04
   10055.075   1063.887  16.750  8.75497E-01  8.75932E-01 -4.96529E-04
   10061.307   1070.118  16.800  8.74411E-01  8.75142E-01 -8.35729E-04
   10067.539   1076.350  16.850  8.73374E-01  8.74369E-01 -1.13886E-03
   10074.109   1082.922  16.900  8.72574E-01  8.73742E-01 -1.33664E-03
   10080.719   1089.534  16.950  8.71975E-01  8.73151E-01 -1.34661E-03
   10087.329   1096.147  17.000  8.71575E-01  8.72564E-01 -1.13277E-03
   10093.939   1102.759  17.050  8.71353E-01  8.71978E-01 -7.17061E-04
   10100.549   1109.372  17.100  8.71238E-01  8.71393E-01 -1.77344E-04
   10107.159   1115.984  17.150  8.71134E-01  8.70808E-01  3.74705E-04
   10113.769   1122.597  17.200  8.70943E-01  8.70223E-01  8.27491E-04
   10120.379   1129.209  17.250  8.70597E-01  8.69639E-01  1.10230E-03
   10126.989   1135.822  17.300  8.70074E-01  8.69054E-01  1.17299E-03
   10133.599   1142.434  17.350  8.69396E-01  8.68470E-01  1.06633E-03
   10140.209   1149.047  17.400  8.68619E-01  8.67886E-01  8.44541E-04
   10146.819   1155.659  17.450  8.67804E-01  8.67302E-01  5.78484E-04
   10153.429   1162.272  17.500  8.66998E-01  8.66718E-01  3.22798E-04
   10160.039   1168.884  17.550  8.66222E-01  8.66134E-01  1.02381E-04
   10166.649   1175.497  17.600  8.65475E-01  8.65549E-01 -8.59697E-05
   10173.259   1182.109  17.650  8.64740E-01  8.64965E-01 -2.59650E-04
   10179.869   1188.722  17.700  8.64007E-01  8.64380E-01 -4.31942E-04
   10186.479   1195.334  17.750  8.63279E-01  8.63795E-01 -5.98338E-04
   10193.089   1201.947  17.800  8.62576E-01  8.63210E-01 -7.33743E-04
   10199.699   1208.559  17.850  8.61928E-01  8.62619E-01 -8.01937E-04
   10206.654   1215.512  17.900  8.61277E-01  8.61944E-01 -7.73316E-04
   10213.649   1222.505  17.950  8.60712E-01  8.61252E-01 -6.27473E-04
   10220.644   1229.498  18.000  8.60235E-01  8.60560E-01 -3.78476E-04
   10227.639   1236.491  18.050  8.59808E-01  8.59868E-01 -6.88486E-05
   10234.634   1243.484  18.100  8.59383E-01  8.59175E-01  2.42598E-04
   10241.629   1250.477  18.150  8.58909E-01  8.58482E-01  4.98175E-04
   10248.624   1257.470  18.200  8.58353E-01  8.57788E-01  6.57670E-04
   10255.619   1264.463  18.250  8.57702E-01  8.57095E-01  7.07659E-04
   10262.614   1271.456  18.300  8.56968E-01  8.56402E-01  6.60855E-04
   10269.609   1278.449  18.350  8.56176E-01  8.55708E-01  5.46791E-04
   10276.604   1285.442  18.400  8.55355E-01  8.55015E-01  3.98466E-04
   10283.599   1292.435  18.450  8.54527E-01  8.54321E-01  2.40825E-04
   10290.594   1299.428  18.500  8.53700E-01  8.53627E-01  8.55851E-05
   10297.589   1306.421  18.550  8.52877E-01  8.52934E-01 -6.62820E-05
   10304.584   1313.414  18.600  8.52055E-01  8.52240E-01 -2.16661E-04
   10311.579   1320.407  18.650  8.51238E-01  8.51546E-01 -3.61568E-04
   10318.574   1327.400  18.700  8.50438E-01  8.50852E-01 -4.86328E-04
   10325.569   1334.393  18.750  8.49675E-01  8.50158E-01 -5.67361E-04
   10332.564   1341.386  18.800  8.48971E-01  8.49464E-01 -5.80072E-04
   10339.559   1348.379  18.850  8.48338E-01  8.48770E-01 -5.09105E-04
   10346.893   1355.713  18.900  8.47754E-01  8.48047E-01 -3.45419E-04
   10354.268   1363.087  18.950  8.47231E-01  8.47320E-01 -1.05126E-04
   10361.643   1370.462  19.000  8.46724E-01  8.46594E-01  1.53585E-04
   10369.018   1377.836  19.050  8.46174E-01  8.45867E-01  3.62956E-04
   10376.393   1385.211  19.100  8.45543E-01  8.45141E-01  4.75362E-04
   10383.768   1392.585  19.150  8.44821E-01  8.44414E-01  4.81436E-04
   10391.143   1399.960  19.200  8.44032E-01  8.43688E-01  4.08635E-04
   10398.518   1407.334  19.250  8.43216E-01  8.42961E-01  3.02367E-04
   10405.893   1414.709  19.300  8.42403E-01  8.42234E-01  2.01004E-04
   10413.268   1422.083  19.350  8.41607E-01  8.41507E-01  1.18660E-04
   10420.643   1429.458  19.400  8.40818E-01  8.40780E-01  4.43189E-05
   10428.018   1436.832  19.450  8.40017E-01  8.40053E-01 -4.37418E-05
   10435.393   1444.207  19.500  8.39194E-01  8.39327E-01 -1.57824E-04
   10442.768   1451.581  19.550  8.38359E-01  8.38600E-01 -2.87182E-04
   10450.143   1458.956  19.600  8.37539E-01  8.37873E-01 -3.98788E-04
   10457.518   1466.330  19.650  8.36768E-01  8.37147E-01 -4.51934E-04
   10464.893   1473.705  19.700  8.36071E-01  8.36421E-01 -4.18424E-04
   10472.268   1481.079  19.750  8.35447E-01  8.35696E-01 -2.97447E-04
   10479.643   1488.454  19.800  8.34875E-01  8.34974E-01 -1.17638E-04
   10487.018   1495.828  19.850  8.34328E-01  8.34269E-01  7.10478E-05
   10494.733   1503.543  19.900  8.33925E-01  8.33760E-01  1.97860E-04
   10502.488   1511.299  19.950  8.33518E-01  8.33294E-01  2.68283E-04
   10510.243   1519.054  20.000  8.33070E-01  8.32832E-01  2.86241E-04
   10517.998   1526.810  20.050  8.32594E-01  8.32370E-01  2.69143E-04
   10525.753   1534.565  20.100  8.32114E-01  8.31910E-01  2.45511E-04
   10533.508   1542.321  20.150  8.31649E-01  8.31449E-01  2.40146E-04
   10541.263   1550.076  20.200  8.31205E-01  8.30989E-01  2.60899E-04
   10549.018   1557.832  20.250  8.30773E-01  8.30528E-01  2.94622E-04
   10556.773   1565.587  20.300  8.30328E-01  8.30067E-01  3.14534E-04
   10564.528   1573.343  20.350  8.29851E-01  8.29606E-01  2.95097E-04
   10572.283   1581.098  20.400  8.29333E-01  8.29145E-01  2.26531E-04
   10580.038   1588.854  20.450  8.28784E-01  8.28683E-01  1.21192E-04
   10587.793   1596.609  20.500  8.28229E-01  8.28222E-01  8.34537E-06
   10595.548   1604.365  20.550  8.27693E-01  8.27760E-01 -7.99715E-05
   10603.303   1612.120  20.600  8.27194E-01  8.27297E-01 -1.24566E-04
   10611.058   1619.876  20.650  8.26729E-01  8.26834E-01 -1.27891E-04
   10618.813   1627.631  20.700  8.26280E-01  8.26372E-01 -1.11369E-04
   10626.568   1635.387  20.750  8.25824E-01  8.25909E-01 -1.02678E-04
   10634.323   1643.142  20.800  8.25348E-01  8.25447E-01 -1.19908E-04
   10642.078   1650.898  20.850  8.24861E-01  8.24994E-01 -1.61197E-04
   10650.173   1658.994  20.900  8.24483E-01  8.24654E-01 -2.07094E-04
   10658.308   1667.130  20.950  8.24155E-01  8.24338E-01 -2.22374E-04
   10666.443   1675.266  21.000  8.23867E-01  8.24023E-01 -1.88977E-04
   10674.578   1683.402  21.050  8.23620E-01  8.23707E-01 -1.06346E-04
   10682.713   1691.538  21.100  8.23397E-01  8.23391E-01  7.04055E-06
   10690.848   1699.674  21.150  8.23172E-01  8.23074E-01  1.19211E-04
   10698.983   1707.810  21.200  8.22917E-01  8.22755E-01  1.96919E-04
   10707.118   1715.946  21.250  8.22616E-01  8.22436E-01  2.19286E-04
   10715.253   1724.082  21.300  8.22268E-01  8.22114E-01  1.86501E-04
   10723.388   1732.218  21.350  8.21889E-01  8.21791E-01  1.19251E-04
   10731.523   1740.354  21.400  8.21506E-01  8.21466E-01  4.88413E-05
   10739.658   1748.490  21.450  8.21141E-01  8.21138E-01  2.44972E-06
   10747.793   1756.626  21.500  8.20801E-01  8.20809E-01 -9.46856E-06
   10755.928   1764.762  21.550  8.20478E-01  8.20476E-01  2.54669E-06
   10764.063   1772.898  21.600  8.20151E-01  8.20140E-01  1.33313E-05
   10772.198   1781.034  21.650  8.19799E-01  8.19801E-01 -2.76239E-06
   10780.333   1789.170  21.700  8.19411E-01  8.19458E-01 -5.68080E-05
   10788.468   1797.306  21.750  8.18998E-01  8.19110E-01 -1.36962E-04
   10796.603   1805.442  21.800  8.18584E-01  8.18757E-01 -2.11543E-04
   10804.738   1813.578  21.850  8.18197E-01  8.18399E-01 -2.46585E-04
