  Si, diamond structure                                            Feff  8.00
  Abs   Z=14 Rmt= 1.590 Rnm= 1.714 K  shell
  Pot 1 Z=14 Rmt= 1.620 Rnm= 1.766
  Gam_ch=4.153E-01 H-L exch
  Mu=-6.650E+00 kf=1.525E+00 Vint=-9.886E+00 Rs_int= 2.378
  S02  1.000                                        Global sig2  0.00000
  Curved wave amplitude ratio filter   4.000%
     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
     0/   0 paths used
  xsedge+ 50, used to normalize mu           1.3634E-03
  -----------------------------------------------------------------------
   e, e(wrt edge), k, mu=(1+chi)*mu0, mu0, chi @#
     1880.471     33.593   3.250  1.08820E+00  1.01041E+00  7.77972E-02
     1881.719     34.841   3.300  1.12106E+00  1.00957E+00  1.11488E-01
     1882.985     36.108   3.350  1.14399E+00  1.00845E+00  1.35543E-01
     1884.271     37.393   3.400  1.14798E+00  1.00710E+00  1.40880E-01
     1885.576     38.698   3.450  1.12797E+00  1.00552E+00  1.22443E-01
     1886.900     40.022   3.500  1.08577E+00  1.00366E+00  8.21106E-02
     1888.243     41.365   3.550  1.03076E+00  1.00164E+00  2.91157E-02
     1889.605     42.727   3.600  9.74777E-01  9.99330E-01 -2.45534E-02
     1890.986     44.109   3.650  9.28279E-01  9.96945E-01 -6.86656E-02
     1892.386     45.509   3.700  8.96145E-01  9.94411E-01 -9.82661E-02
     1893.806     46.928   3.750  8.77303E-01  9.91729E-01 -1.14426E-01
     1895.244     48.366   3.800  8.68865E-01  9.88900E-01 -1.20035E-01
     1896.701     49.824   3.850  8.69588E-01  9.86069E-01 -1.16481E-01
     1898.178     51.300   3.900  8.79545E-01  9.83164E-01 -1.03619E-01
     1899.673     52.795   3.950  8.99430E-01  9.80184E-01 -8.07543E-02
     1901.188     54.310   4.000  9.29792E-01  9.77277E-01 -4.74856E-02
     1902.721     55.843   4.050  9.65783E-01  9.74369E-01 -8.58605E-03
     1904.274     57.396   4.100  9.93009E-01  9.71460E-01  2.15485E-02
     1905.845     58.967   4.150  9.97536E-01  9.68624E-01  2.89122E-02
     1907.436     60.558   4.200  9.82333E-01  9.65787E-01  1.65458E-02
     1909.046     62.168   4.250  9.66273E-01  9.63096E-01  3.17709E-03
     1910.674     63.797   4.300  9.63228E-01  9.60477E-01  2.75020E-03
     1912.322     65.444   4.350  9.71085E-01  9.57932E-01  1.31534E-02
     1913.989     67.111   4.400  9.79033E-01  9.55459E-01  2.35740E-02
     1915.675     68.797   4.450  9.81655E-01  9.53058E-01  2.85970E-02
     1917.380     70.502   4.500  9.80464E-01  9.50804E-01  2.96593E-02
     1919.104     72.226   4.550  9.74545E-01  9.48623E-01  2.59218E-02
