# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag         chir_re         chir_re
  2.6998062       0.67280710       0.53425682      -0.67279333      -0.48820734
  2.7304858       0.52806328       0.40501636      -0.45315605      -0.21284500
  2.7611654       0.38496047       0.26361494      -0.21231927      -0.32592466E-04
  2.7918450       0.27833137       0.13397539      -0.90347719E-01   0.44531382E-01
  2.8225246       0.24906994       0.79165969E-01  -0.65607906E-01  -0.10449608E-01
  2.8532043       0.28486314       0.12723632      -0.28571122E-01  -0.29715308E-01
  2.8838839       0.32502863       0.16173834       0.74102173E-01   0.34434407E-01
  2.9145635       0.33342394       0.15519133       0.19016103       0.11006474
  2.9452431       0.30445540       0.11107381       0.24233228       0.10964087
  2.9759227       0.26447287       0.43210286E-01   0.22898738       0.36758847E-01
  3.0066023       0.27827332       0.32103123E-01   0.23006670      -0.22692687E-01
  3.0372820       0.38025889       0.93004378E-01   0.32202916      -0.22307961E-02
  3.0679616       0.53010403       0.12785859       0.50163497       0.73092023E-01
  3.0986412       0.69183263       0.12973232       0.69181904       0.12151309
  3.1293208       0.85374190       0.10061891       0.80266814       0.98407559E-01
  3.1600004        1.0191140       0.50779158E-01   0.77072192       0.40709067E-01
  3.1906800        1.1948992       0.20962249E-01   0.55034451       0.17760585E-01
  3.2213597        1.3804493       0.65987999E-01   0.10692306       0.51387820E-01
  3.2520393        1.5621749       0.97725654E-01  -0.53846203       0.96192535E-01
  3.2827189        1.7167075       0.10390563       -1.2434254       0.96471967E-01
  3.3133985        1.8188397       0.84398381E-01   -1.7491280       0.49905979E-01
  3.3440781        1.8493610       0.46017737E-01   -1.8028927       0.64877744E-02
  3.3747577        1.8002239       0.99686775E-02   -1.3285627       0.89937977E-02
  3.4054373        1.6763822       0.46202941E-01  -0.50520060       0.45934006E-01
  3.4361170        1.4945676       0.74177074E-01   0.32552375       0.68598963E-01
  3.4667966        1.2797832       0.81616159E-01   0.86207445       0.48386148E-01
  3.4974762        1.0607007       0.67827341E-01    1.0035843       0.72597050E-02
  3.5281558       0.86538353       0.38394146E-01   0.85706000      -0.10944993E-01
  3.5588354       0.71835276       0.16014101E-01   0.61015727       0.79859088E-02
  3.5895150       0.63787974       0.43542836E-01   0.38713462       0.34014737E-01
  3.6201947       0.63038613       0.67978220E-01   0.19449879       0.29514321E-01
  3.6508743       0.68649556       0.76170203E-01  -0.29643420E-01  -0.70776287E-02
  3.6815539       0.78848960       0.66372490E-01  -0.32980242      -0.40391441E-01
  3.7122335       0.92107675       0.41910669E-01  -0.68511150      -0.39014223E-01
  3.7429131        1.0756148       0.10333706E-01   -1.0204762      -0.10222148E-01
  3.7735927        1.2502272       0.23246154E-01   -1.2458792       0.99771143E-02
  3.8042724        1.4483950       0.46617929E-01   -1.2834440      -0.19596394E-02
  3.8349520        1.6760635       0.56618048E-01   -1.0700979      -0.32191140E-01
  3.8656316        1.9375310       0.51544208E-01  -0.55599868      -0.47486908E-01
  3.8963112        2.2313887       0.33744225E-01   0.27252640      -0.33454099E-01
  3.9269908        2.5479560       0.95810371E-02    1.3383564      -0.92333405E-02
  3.9576704        2.8689110       0.19141419E-01    2.4190958      -0.38683879E-02
  3.9883500        3.1689807       0.38907199E-01    3.1539576      -0.23201816E-01
  4.0190297        3.4191660       0.48413637E-01    3.1603807      -0.44858198E-01
  4.0497093        3.5908701       0.45713099E-01    2.2397555      -0.45080462E-01
  4.0803889        3.6602336       0.32390582E-01   0.56051907      -0.25305643E-01
  4.1110685        3.6119346       0.13653415E-01   -1.3290618      -0.87030168E-02
  4.1417481        3.4418004       0.13427801E-01   -2.7260075      -0.12500126E-01
  4.1724277        3.1578522       0.29145771E-01   -3.1359048      -0.28819668E-01
  4.2031074        2.7798480       0.37791608E-01   -2.5445400      -0.35216289E-01
  4.2337870        2.3379558       0.36567286E-01   -1.4008491      -0.21332399E-01
  4.2644666        1.8719362       0.26236541E-01  -0.31263028      -0.56449746E-03
  4.2951462        1.4333631       0.99197579E-02   0.32789951       0.58336424E-02
  4.3258258        1.0933358       0.80469926E-02   0.52200845      -0.69976274E-02
  4.3565054       0.93775342       0.22913879E-01   0.54483962      -0.22645930E-01
  4.3871851       0.98689418       0.31270260E-01   0.66662945      -0.22519025E-01
  4.4178647        1.1487959       0.31424892E-01   0.95640764      -0.63801008E-02
  4.4485443        1.3384886       0.23871768E-01    1.2955125       0.86368778E-02
  4.4792239        1.5313219       0.11129071E-01    1.5204830       0.81807570E-02
  4.5099035        1.7409627       0.51942357E-02    1.5203021      -0.36203305E-02
  4.5405831        1.9922382       0.17301008E-01    1.2136521      -0.10160679E-01
  4.5712627        2.2983471       0.25093044E-01   0.50320010      -0.19742485E-02
  4.6019424        2.6492630       0.26351424E-01  -0.65408559       0.12900470E-01
  4.6326220        3.0147223       0.21144790E-01   -2.0694122       0.18937458E-01
  4.6633016        3.3547860       0.11161516E-01   -3.2290697       0.11084866E-01
  4.6939812        3.6300105       0.12615480E-02   -3.4773548      -0.14531777E-04
  4.7246608        3.8083174       0.12041879E-01   -2.4372209      -0.75573775E-03
  4.7553404        3.8686534       0.19590473E-01  -0.36869976       0.10006176E-01
  4.7860201        3.8021678       0.22136100E-01    1.8620045       0.20294967E-01
  4.8166997        3.6116684       0.19530779E-01    3.2534441       0.19036324E-01
  4.8473793        3.3101411       0.12902440E-01    3.2693366       0.82411971E-02
  4.8780589        2.9190872       0.42760959E-02    2.1313168      -0.14140797E-03
  4.9087385        2.4672850       0.41282164E-02   0.59918752       0.17893546E-02
  4.9394181        1.9904508       0.10132847E-01  -0.56829253       0.94275685E-02
  4.9700978        1.5324591       0.12615214E-01   -1.0541466       0.11887946E-01
  5.0007774        1.1488928       0.11446171E-01   -1.0332561       0.50015731E-02
  5.0314570       0.90645164       0.78795079E-02  -0.88093101      -0.40147283E-02
  5.0621366       0.84174542       0.59203935E-02  -0.83777123      -0.50930848E-02
  5.0928162       0.89729234       0.91750182E-02  -0.89120401       0.31977602E-02
  5.1234958       0.98250872       0.12875450E-01  -0.89241220       0.12233443E-01
  5.1541754        1.0529312       0.14328119E-01  -0.73051332       0.13034928E-01
  5.1848551        1.1049280       0.12945917E-01  -0.39871038       0.57190190E-02
  5.2155347        1.1508512       0.91528346E-02   0.51690364E-01  -0.16278610E-02
  5.2462143        1.2002361       0.40742044E-02   0.55787072      -0.25145550E-02
  5.2768939        1.2508097       0.19340484E-02    1.0236712       0.12640384E-02
  5.3075735        1.2908165       0.56097799E-02    1.2852696       0.29601494E-02
  5.3382531        1.3072947       0.75316698E-02    1.1648213      -0.50588875E-03
  5.3689328        1.2926968       0.71159551E-02   0.61484753      -0.50292854E-02
  5.3996124        1.2466606       0.47351975E-02  -0.17479429      -0.47138219E-02
  5.4302920        1.1738136       0.24672848E-02  -0.84171183       0.60283343E-03
  5.4609716        1.0800526       0.51772316E-02   -1.0744093       0.47147177E-02
  5.4916512       0.96996283       0.88487840E-02  -0.82109927       0.20530922E-02
  5.5223308       0.84716915       0.11339250E-01  -0.30559211      -0.57997779E-02
  5.5530105       0.71754621       0.12066436E-01   0.16126270      -0.11547091E-01
  5.5836901       0.59344626       0.10968071E-01   0.40534254      -0.99076133E-02
  5.6143697       0.49565471       0.83791224E-02   0.45919277      -0.30167444E-02
  5.6450493       0.44576941       0.49315469E-02   0.44563285       0.22424171E-02
  5.6757289       0.44478729       0.17363521E-02   0.41719602       0.16569920E-02
  5.7064085       0.46729488       0.27286063E-02   0.31649212      -0.23814703E-02
  5.7370881       0.48660283       0.48254072E-02   0.81755605E-01  -0.42873094E-02
