# data from ifeffit
#------------------------
#   r          chir_mag          chir_mag          chir_re          chir_re
  2.6998062       0.54759260       0.39899317      -0.53728399      -0.39084880
  2.7304858       0.44961022       0.31469021      -0.43322219      -0.24478663
  2.7611654       0.36334632       0.23591298      -0.28098790      -0.10632607
  2.7918450       0.30128888       0.17141213      -0.15985613      -0.27314812E-01
  2.8225246       0.27474402       0.13279490      -0.86473473E-01  -0.62530787E-03
  2.8532043       0.28189478       0.12109126      -0.24881461E-01   0.13816689E-01
  2.8838839       0.30449636       0.11784084       0.57998191E-01   0.39324039E-01
  2.9145635       0.32349414       0.10579177       0.15521357       0.63775901E-01
  2.9452431       0.33075070       0.81095757E-01   0.23495768       0.64942542E-01
  2.9759227       0.33271923       0.52706037E-01   0.28295608       0.43582753E-01
  3.0066023       0.34965041       0.46148513E-01   0.32225072       0.25203823E-01
  3.0372820       0.40277336       0.65900933E-01   0.38967134       0.31591084E-01
  3.0679616       0.49490168       0.83194603E-01   0.49417889       0.57250019E-01
  3.0986412       0.61210427       0.86569633E-01   0.59734239       0.77162760E-01
  3.1293208       0.73834268       0.76040929E-01   0.63121810       0.75008504E-01
  3.1600004       0.86226165       0.59238745E-01   0.53529986       0.59230752E-01
  3.1906800       0.97723550       0.50924401E-01   0.28520808       0.50601806E-01
  3.2213597        1.0791938       0.58532202E-01  -0.97403959E-01   0.57762054E-01
  3.2520393        1.1642072       0.68903825E-01  -0.54684833       0.68882862E-01
  3.2827189        1.2270666       0.70816779E-01  -0.96146137       0.67140602E-01
  3.3133985        1.2615147       0.61972976E-01   -1.2236453       0.50554574E-01
  3.3440781        1.2618873       0.46945189E-01   -1.2386170       0.33558802E-01
  3.3747577        1.2252590       0.37404233E-01  -0.98105594       0.29951557E-01
  3.4054373        1.1531252       0.42806399E-01  -0.52043771       0.37732040E-01
  3.4361170        1.0520191       0.52661895E-01  -0.69201726E-04   0.42651058E-01
  3.4667966       0.93292603       0.56280139E-01   0.42552506       0.35080153E-01
  3.4974762       0.80971061       0.51381295E-01   0.65859369       0.20280390E-01
  3.5281558       0.69699146       0.41835953E-01   0.68960363       0.11033014E-01
  3.5588354       0.60797208       0.36782251E-01   0.57646232       0.12265443E-01
  3.5895150       0.55270562       0.41903627E-01   0.39253163       0.15730623E-01
  3.6201947       0.53709998       0.49719229E-01   0.18253389       0.10279751E-01
  3.6508743       0.56270140       0.52276441E-01  -0.46747211E-01  -0.47913447E-02
  3.6815539       0.62718251       0.47081725E-01  -0.30320930      -0.18742685E-01
  3.7122335       0.72551611       0.36122703E-01  -0.57766828      -0.21464225E-01
  3.7429131       0.85159450       0.26100327E-01  -0.82775447      -0.14551791E-01
  3.7735927       0.99973964       0.26540164E-01  -0.98501506      -0.90531833E-02
  3.8042724        1.1655578       0.33746738E-01  -0.97613146      -0.13014750E-01
  3.8349520        1.3458151       0.37993915E-01  -0.74535078      -0.23117129E-01
  3.8656316        1.5373560       0.35949873E-01  -0.27325269      -0.29332607E-01
  3.8963112        1.7355165       0.28868606E-01   0.40521804      -0.26580434E-01
  3.9269908        1.9327812       0.22087409E-01    1.1837941      -0.20011693E-01
  3.9576704        2.1183625       0.23011391E-01    1.8821109      -0.18520377E-01
  3.9883500        2.2789737       0.29177211E-01    2.2779605      -0.24523409E-01
  4.0190297        2.4005916       0.33265111E-01    2.1830219      -0.31655162E-01
  4.0497093        2.4707145       0.32402628E-01    1.5385993      -0.32402318E-01
  4.0803889        2.4805505       0.27274663E-01   0.47824119      -0.26463125E-01
  4.1110685        2.4266684       0.21471996E-01  -0.69435980      -0.20431780E-01
  4.1417481        2.3118166       0.20223603E-01   -1.6206631      -0.19782276E-01
  4.1724277        2.1448303       0.23468425E-01   -2.0429420      -0.22741029E-01
  4.2031074        1.9397739       0.25923241E-01   -1.9128830      -0.22902002E-01
  4.2337870        1.7146443       0.24559815E-01   -1.3891033      -0.17105641E-01
  4.2644666        1.4900394       0.19347551E-01  -0.72948002      -0.92776380E-02
  4.2951462        1.2879715       0.12977549E-01  -0.15081119      -0.59551596E-02
  4.3258258        1.1302188       0.11783293E-01   0.25771915      -0.88703341E-02
  4.3565054        1.0344360       0.16520018E-01   0.52750003      -0.13086965E-01
  4.3871851        1.0075538       0.20495571E-01   0.73744448      -0.12584466E-01
  4.4178647        1.0424416       0.20988040E-01   0.93766484      -0.67590111E-02
  4.4485443        1.1240883       0.18059609E-01    1.1153320      -0.61651539E-03
  4.4792239        1.2388859       0.13756605E-01    1.2047197       0.11580653E-02
  4.5099035        1.3780047       0.12055977E-01    1.1170538      -0.71410393E-03
  4.5405831        1.5352304       0.14465497E-01   0.77373913      -0.14455019E-02
  4.5712627        1.7035301       0.17180106E-01   0.14637334       0.20075500E-02
  4.6019424        1.8730482       0.17527868E-01  -0.69484944       0.75007061E-02
  4.6326220        2.0312106       0.15083759E-01   -1.5503523       0.10375467E-01
  4.6633016        2.1643807       0.11088663E-01   -2.1236457       0.88823528E-02
  4.6939812        2.2600898       0.87017953E-02   -2.1376331       0.60631609E-02
  4.7246608        2.3090015       0.10441556E-01   -1.4902181       0.61282406E-02
  4.7553404        2.3061135       0.13207835E-01  -0.35166645       0.96695188E-02
  4.7860201        2.2510580       0.14255795E-01   0.87904064       0.13136313E-01
  4.8166997        2.1476477       0.12939008E-01    1.7551582       0.12937490E-01
  4.8473793        2.0030113       0.98123408E-02    1.9990382       0.93464244E-02
  4.8780589        1.8267185       0.64167891E-02    1.6224346       0.58962750E-02
  4.9087385        1.6301996       0.53140172E-02   0.88165475       0.52557726E-02
  4.9394181        1.4265452       0.64989143E-02   0.11015498       0.64410467E-02
  4.9700978        1.2304700       0.70644493E-02  -0.45474964       0.63974827E-02
  5.0007774        1.0578376       0.58948366E-02  -0.74873904       0.38633364E-02
  5.0314570       0.92362369       0.31359692E-02  -0.84025770       0.95889037E-03
  5.0621366       0.83724107       0.83392496E-03  -0.83194000       0.75789268E-03
