# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag         chir_re         chir_re
  0.0000000       0.40225824E-01   0.87536735E-01   0.40225824E-01   0.87536735E-01
  0.30679616E-01   0.43852321E-01   0.89900054E-01   0.43852024E-01   0.89860288E-01
  0.61359232E-01   0.49533999E-01   0.94962557E-01   0.48949382E-01   0.94468139E-01
  0.92038847E-01   0.49622524E-01   0.98647232E-01   0.45357890E-01   0.96304837E-01
  0.12271846       0.40867809E-01   0.98095569E-01   0.32012406E-01   0.92211896E-01
  0.15339808       0.26638020E-01   0.93601404E-01   0.20982510E-01   0.84300572E-01
  0.18407769       0.25835202E-01   0.89142021E-01   0.25774060E-01   0.78618877E-01
  0.21475731       0.45130286E-01   0.90119938E-01   0.45128778E-01   0.79430091E-01
  0.24543693       0.63494138E-01   0.97527915E-01   0.60687344E-01   0.84263754E-01
  0.27611654       0.71024338E-01   0.10610258       0.54119328E-01   0.85470733E-01
  0.30679616       0.63661422E-01   0.10980720       0.27862375E-01   0.77954714E-01
  0.33747577       0.42302790E-01   0.10681299       0.63408933E-02   0.65350288E-01
  0.36815539       0.21400572E-01   0.10150072       0.12417985E-01   0.57014609E-01
  0.39883500       0.43865895E-01   0.10244869       0.41187059E-01   0.57679521E-01
  0.42951462       0.76213816E-01   0.11317904       0.60459894E-01   0.60907977E-01
  0.46019424       0.96549085E-01   0.12665113       0.42303609E-01   0.54981957E-01
  0.49087385       0.96975416E-01   0.13342511      -0.46282568E-02   0.36221714E-01
  0.52155347       0.74937486E-01   0.12972570      -0.38532718E-01   0.14769833E-01
  0.55223308       0.34183667E-01   0.12087148      -0.25989547E-01   0.45507778E-02
  0.58291270       0.27242247E-01   0.12031659       0.18798205E-01   0.70408630E-02
  0.61359232       0.80586482E-01   0.13620838       0.41534181E-01   0.74696345E-02
  0.64427193       0.12505041       0.15915725       0.13630783E-02  -0.10208797E-01
  0.67495155       0.14853753       0.17463549      -0.81486188E-01  -0.44885661E-01
