# data from ifeffit
#------------------------
#   energy    f1
  9000.1040       -5.6172049
  9001.1040       -5.4564584
  9002.1040       -5.3604436
  9003.1040       -5.3002835
  9004.1040       -5.2871999
  9005.1040       -5.2739541
  9006.1040       -5.2867055
  9007.1040       -5.3119038
  9008.1040       -5.3600451
  9009.1040       -5.3855668
  9010.1040       -5.4110527
  9011.1040       -5.4255327
  9012.1040       -5.4419184
  9013.1040       -5.4433644
  9014.1040       -5.4409662
  9015.1040       -5.4091703
  9016.1040       -5.3818040
  9017.1040       -5.3384100
  9018.1040       -5.2871842
  9019.1040       -5.2099159
  9020.1040       -5.1275485
  9021.1040       -5.0224362
  9022.1040       -4.9149624
  9023.1040       -4.8036212
  9024.1040       -4.7176937
  9025.1040       -4.6535908
  9026.1040       -4.6171184
  9027.1040       -4.5826609
  9028.1040       -4.5790541
  9029.1040       -4.5828087
  9030.1040       -4.5960903
  9031.1040       -4.6080873
  9032.1040       -4.6308458
  9033.1040       -4.6474818
  9034.1040       -4.6661188
  9035.1040       -4.6702448
  9036.1040       -4.6713955
  9037.1040       -4.6574188
  9038.1040       -4.6391069
  9039.1040       -4.6115414
  9040.1040       -4.5963507
  9041.1040       -4.5859540
  9042.1040       -4.5900260
  9043.1040       -4.5921017
  9044.1040       -4.5998482
  9045.1040       -4.5954248
  9046.1040       -4.5836880
  9047.1040       -4.5576483
  9048.1040       -4.5356013
  9049.1040       -4.5136953
  9050.1040       -4.5052468
  9051.1040       -4.4992261
  9052.1040       -4.5018564
  9053.1040       -4.4986794
  9054.1040       -4.4956332
  9055.1040       -4.4803541
  9056.1040       -4.4619514
  9057.1040       -4.4354887
  9058.1040       -4.4143387
  9059.1040       -4.3901564
  9060.1040       -4.3716034
  9061.1040       -4.3487832
  9062.1040       -4.3299327
  9063.1040       -4.3053072
  9064.1040       -4.2807584
  9065.1040       -4.2449399
  9066.1040       -4.2045311
  9067.1040       -4.1512486
  9068.1040       -4.0954847
  9069.1040       -4.0327694
  9070.1040       -3.9753994
  9071.1040       -3.9150840
  9072.1040       -3.8582717
  9073.1040       -3.8050397
  9074.1040       -3.7720266
  9075.1040       -3.7479762
  9076.1040       -3.7341528
  9077.1040       -3.7220785
  9078.1040       -3.7189939
  9079.1040       -3.7150935
  9080.1040       -3.7161400
  9081.1040       -3.7170526
  9082.1040       -3.7255851
  9083.1040       -3.7300088
  9084.1040       -3.7325428
  9085.1040       -3.7236693
  9086.1040       -3.7107347
  9087.1040       -3.6930132
  9088.1040       -3.6832619
  9089.1040       -3.6773968
  9090.1040       -3.6835267
  9091.1040       -3.6956974
  9092.1040       -3.7202027
  9093.1040       -3.7482794
  9094.1040       -3.7834413
  9095.1040       -3.8164448
  9096.1040       -3.8508613
  9097.1040       -3.8785163
  9098.1040       -3.9042673
  9099.1040       -3.9227937
  9100.1040       -3.9419288
  9101.1040       -3.9540943
  9102.1040       -3.9611049
  9103.1040       -3.9562425
  9104.1040       -3.9490609
  9105.1040       -3.9360154
  9106.1040       -3.9217449
  9107.1040       -3.8995587
  9108.1040       -3.8770457
  9109.1040       -3.8511272
  9110.1040       -3.8291493
  9111.1040       -3.8068809
  9112.1040       -3.7915175
  9113.1040       -3.7795714
  9114.1040       -3.7775612
  9115.1040       -3.7798559
  9116.1040       -3.7911696
  9117.1040       -3.8053859
  9118.1040       -3.8264523
  9119.1040       -3.8454426
  9120.1040       -3.8623496
  9121.1040       -3.8671781
  9122.1040       -3.8603282
  9123.1040       -3.8341116
  9124.1040       -3.7954192
  9125.1040       -3.7426404
  9126.1040       -3.6844121
  9127.1040       -3.6200998
  9128.1040       -3.5581689
  9129.1040       -3.4967841
  9130.1040       -3.4428634
  9131.1040       -3.3917344
  9132.1040       -3.3473967
  9133.1040       -3.3039189
  9134.1040       -3.2642785
  9135.1040       -3.2226484
  9136.1040       -3.1836026
  9137.1040       -3.1427697
  9138.1040       -3.1047081
  9139.1040       -3.0647683
  9140.1040       -3.0285674
  9141.1040       -2.9949599
  9142.1040       -2.9717069
  9143.1040       -2.9538223
  9144.1040       -2.9432701
  9145.1040       -2.9342257
  9146.1040       -2.9319184
  9147.1040       -2.9332106
