# Cu foil at 10K
# # cu10k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40.
# FOCUS=F TRANSLT=F  E0= 8980.0 NREG= 3 NPTS= 611 NSCLRS= 3 EF= .0
# SRB=     -193.7    -43.5     30.0   2381.3
# DEL=         10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
#------------------------
#   energy        xmu
  9164.339         2.816572
  9167.009         2.917572
  9169.681         3.016081
  9172.399         3.080977
  9175.074         3.115732
  9177.842         3.108910
  9180.564         3.070012
  9183.381         3.033550
  9186.153         3.015555
  9188.973         3.007977
  9191.794         2.979829
  9194.663         2.938781
  9197.533         2.929960
  9200.406         2.976179
  9203.326         3.073268
  9206.247         3.170151
  9209.217         3.203155
  9212.143         3.206142
  9215.115         3.190300
  9218.183         3.147204
  9221.160         3.071421
  9224.185         2.977321
  9227.258         2.889161
  9230.333         2.822056
  9233.502         2.781351
  9236.581         2.763039
  9239.755         2.769146
  9242.838         2.800158
  9246.016         2.822845
  9249.196         2.821907
  9252.425         2.826751
  9255.655         2.834598
  9258.889         2.837595
  9262.171         2.852731
  9265.454         2.884891
  9268.787         2.914335
  9272.122         2.934046
  9275.459         2.943820
  9278.800         2.944769
  9282.188         2.942882
  9285.580         2.952354
  9289.021         2.967295
  9292.465         2.986871
  9295.910         3.003432
  9299.404         2.981879
  9302.949         2.933500
  9306.403         2.889045
  9309.953         2.840568
  9313.506         2.796097
  9317.061         2.775838
  9320.666         2.781760
  9324.320         2.801508
  9327.932         2.816890
  9331.592         2.803144
  9335.256         2.763032
  9338.922         2.711823
  9342.639         2.687955
  9346.358         2.711813
  9350.128         2.737134
  9353.900         2.737934
  9357.677         2.748922
  9361.455         2.765675
  9365.285         2.773098
  9369.165         2.781047
  9373.048         2.789819
  9376.840         2.797477
  9380.777         2.804734
  9384.671         2.809786
  9388.614         2.812114
  9392.563         2.813700
  9396.561         2.814358
  9400.515         2.809979
  9404.567         2.793399
  9408.576         2.760490
  9412.637         2.718249
  9416.700         2.683656
  9420.768         2.671065
  9424.935         2.671632
  9429.010         2.681260
  9433.184         2.696438
  9437.313         2.704987
  9441.495         2.701200
  9445.729         2.686653
  9449.966         2.657398
  9454.208         2.628573
  9458.453         2.623585
  9462.702         2.633209
  9467.004         2.630277
  9471.358         2.616724
  9475.668         2.610234
  9480.029         2.609877
  9484.396         2.618066
  9488.814         2.632820
  9493.189         2.645850
  9497.665         2.661480
  9502.097         2.680759
  9506.581         2.696983
  9511.118         2.702235
  9515.563         2.694176
  9520.109         2.669260
  9524.611         2.625398
  9529.265         2.580381
  9533.775         2.561563
  9538.438         2.556394
  9543.007         2.555007
  9547.679         2.552842
  9552.306         2.553917
  9556.986         2.558074
  9561.673         2.558972
  9566.462         2.552003
  9571.157         2.546721
  9575.956         2.543460
  9580.661         2.535349
  9585.470         2.517931
  9590.283         2.509453
  9595.102         2.508878
  9599.976         2.507338
  9604.854         2.511822
  9609.737         2.515893
  9614.625         2.514758
  9619.568         2.514053
  9624.518         2.518860
  9629.471         2.526326
  9634.431         2.524162
  9639.445         2.515393
  9644.466         2.505588
  9649.541         2.495945
  9654.571         2.489619
  9659.708         2.480515
  9664.750         2.465866
  9669.847         2.454911
  9675.001         2.448600
  9680.159         2.444625
  9685.324         2.444391
  9690.545         2.438542
  9695.722         2.425891
  9700.953         2.421363
  9706.243         2.420298
  9711.486         2.415727
  9716.788         2.406582
  9722.094         2.399528
  9727.407         2.394548
  9732.776         2.385773
  9738.204         2.384001
  9743.535         2.385557
  9748.923         2.387176
  9754.317         2.393320
  9759.769         2.393286
  9765.227         2.390265
  9770.742         2.386799
  9776.212         2.377775
  9781.793         2.363987
  9787.275         2.354141
  9792.816         2.352211
  9798.416         2.352589
  9804.022         2.351565
  9809.584         2.349586
  9815.254         2.343184
  9820.880         2.331066
  9826.564         2.319885
  9832.308         2.309800
  9837.953         2.302536
  9843.659         2.298680
  9849.422         2.294200
  9855.192         2.287658
  9860.971         2.282896
  9866.755         2.277700
  9872.600         2.273120
  9878.450         2.271066
  9884.310         2.266972
  9890.175         2.263576
