#GaAs-6K
#363
#--------------------------
#   E             mu
1.064806e+01   1.464349e+00
1.064413e+01   1.458362e+00
1.064020e+01   1.469224e+00
1.063627e+01   1.492863e+00
1.063235e+01   1.519784e+00
1.062843e+01   1.540649e+00
1.062451e+01   1.560523e+00
1.062060e+01   1.574481e+00
1.061668e+01   1.570054e+00
1.061277e+01   1.565798e+00
1.060887e+01   1.584291e+00
1.060497e+01   1.605644e+00
1.060106e+01   1.602247e+00
1.059717e+01   1.575219e+00
1.059327e+01   1.560777e+00
1.058938e+01   1.560611e+00
1.058549e+01   1.561179e+00
1.058161e+01   1.564959e+00
1.057772e+01   1.584617e+00
1.057384e+01   1.598126e+00
1.056997e+01   1.584569e+00
1.056609e+01   1.556902e+00
1.056222e+01   1.526979e+00
1.055835e+01   1.530475e+00
1.055449e+01   1.542754e+00
1.055062e+01   1.545806e+00
1.054676e+01   1.546300e+00
1.054291e+01   1.556529e+00
1.053905e+01   1.576095e+00
1.053520e+01   1.594126e+00
1.053135e+01   1.619617e+00
1.052751e+01   1.633111e+00
1.052367e+01   1.645624e+00
1.051983e+01   1.651812e+00
1.051599e+01   1.647008e+00
1.051216e+01   1.647727e+00
1.050832e+01   1.634509e+00
1.050450e+01   1.606943e+00
1.050067e+01   1.580833e+00
1.049685e+01   1.559462e+00
1.049303e+01   1.555563e+00
1.048921e+01   1.557352e+00
1.048540e+01   1.570469e+00
1.048158e+01   1.615294e+00
1.047778e+01   1.643730e+00
1.047397e+01   1.618163e+00
1.047207e+01   1.604037e+00
1.047017e+01   1.596178e+00
1.046827e+01   1.597290e+00
1.046637e+01   1.607444e+00
1.046447e+01   1.622601e+00
1.046257e+01   1.633783e+00
1.046067e+01   1.639488e+00
1.045878e+01   1.642875e+00
1.045688e+01   1.647032e+00
1.045498e+01   1.651859e+00
1.045309e+01   1.657433e+00
1.045120e+01   1.664703e+00
1.044930e+01   1.671292e+00
1.044741e+01   1.671111e+00
1.044552e+01   1.660411e+00
1.044363e+01   1.640661e+00
1.044174e+01   1.617939e+00
1.043985e+01   1.600554e+00
1.043796e+01   1.593912e+00
1.043607e+01   1.598809e+00
1.043418e+01   1.610932e+00
1.043229e+01   1.623343e+00
1.043041e+01   1.636051e+00
1.042852e+01   1.652616e+00
1.042664e+01   1.669474e+00
1.042475e+01   1.668637e+00
1.042287e+01   1.651547e+00
1.042098e+01   1.638196e+00
1.041910e+01   1.632956e+00
1.041722e+01   1.631930e+00
1.041534e+01   1.629415e+00
1.041346e+01   1.624491e+00
1.041158e+01   1.619485e+00
1.040970e+01   1.614676e+00
1.040782e+01   1.606909e+00
1.040595e+01   1.593005e+00
1.040407e+01   1.586628e+00
1.040219e+01   1.599426e+00
1.040032e+01   1.612311e+00
1.039844e+01   1.610514e+00
1.039657e+01   1.602031e+00
1.039470e+01   1.587954e+00
1.039282e+01   1.583349e+00
1.039095e+01   1.584034e+00
1.038908e+01   1.595728e+00
1.038721e+01   1.709182e+00
1.038534e+01   1.899165e+00
1.038347e+01   1.891126e+00
1.038160e+01   1.850398e+00
1.037973e+01   1.914921e+00
1.037787e+01   2.110972e+00
1.037600e+01   2.113538e+00
1.037413e+01   1.405909e+00
1.037227e+01   7.570927e-01
1.037041e+01   5.451639e-01
1.036854e+01   4.775383e-01
1.036668e+01   4.462338e-01
1.036482e+01   4.291643e-01
1.036295e+01   4.181242e-01
1.036109e+01   4.108901e-01
1.035923e+01   4.057918e-01
1.035737e+01   4.022800e-01
1.035551e+01   3.996651e-01
1.035366e+01   3.976485e-01
1.035180e+01   3.961999e-01
1.034994e+01   3.950900e-01
1.034809e+01   3.940787e-01
1.034623e+01   3.933929e-01
1.034438e+01   3.929106e-01
1.034252e+01   3.926076e-01
1.034067e+01   3.924045e-01
1.033881e+01   3.922960e-01
1.033696e+01   3.923268e-01
1.033511e+01   3.923335e-01
1.033326e+01   3.924153e-01
1.033141e+01   3.925825e-01
1.032956e+01   3.926606e-01
1.032771e+01   3.927477e-01
1.032586e+01   3.929900e-01
1.032402e+01   3.933004e-01
1.031663e+01   3.947377e-01
1.030926e+01   3.964354e-01
1.030190e+01   3.978806e-01
1.029455e+01   3.994884e-01
1.028721e+01   4.010445e-01
1.027988e+01   4.032563e-01
1.027256e+01   4.050259e-01
1.026525e+01   4.072448e-01
1.025795e+01   4.093092e-01
1.025067e+01   4.110208e-01
1.024339e+01   4.132557e-01
1.023613e+01   4.151786e-01
1.022887e+01   4.175839e-01
1.022162e+01   4.195596e-01
1.021439e+01   4.217446e-01
1.020717e+01   4.239303e-01
1.019995e+01   4.259643e-01
1.019275e+01   4.281892e-01
1.018556e+01   4.300917e-01
1.017837e+01   4.321097e-01
1.017120e+01   4.343432e-01
1.016404e+01   4.365623e-01
1.015689e+01   4.389698e-01
1.014975e+01   4.411247e-01
1.014262e+01   4.432704e-01
1.013549e+01   4.454180e-01
1.012838e+01   4.475753e-01
1.012128e+01   4.497696e-01
1.011419e+01   4.520779e-01
1.010711e+01   4.542389e-01
1.010004e+01   4.564527e-01
1.009298e+01   4.588306e-01
1.008593e+01   4.609618e-01
1.007889e+01   4.632910e-01
1.007186e+01   4.654988e-01
1.006484e+01   4.676870e-01
1.005783e+01   4.697429e-01
1.005083e+01   4.721647e-01
1.004384e+01   4.747286e-01
