#:RESULT:FerriteDAFS01.0003.q
#--------------------------
#Q     Intensity
  1.866633       186.179260
  1.870318       186.229172
  1.874004       186.319260
  1.877688       186.324142
  1.881373       186.323730
  1.885057       185.992065
  1.888741       185.229523
  1.892425       184.774872
  1.896108       184.768448
  1.899791       184.939758
  1.903473       184.742966
  1.907156       184.356842
  1.910838       183.477570
  1.914520       183.105606
  1.918202       183.389557
  1.921883       183.532471
  1.925564       183.289017
  1.929245       182.854584
  1.932925       182.688919
  1.936605       183.019958
  1.940285       182.700302
  1.943964       182.062897
  1.947644       181.356598
  1.951322       181.704987
  1.955001       181.395203
  1.958679       181.163788
  1.962357       180.864029
  1.966035       180.643143
  1.969712       180.757477
  1.973390       181.522308
  1.977067       182.706879
  1.980743       184.760529
  1.984419       187.849823
  1.988095       192.329102
  1.991771       198.554657
  1.995446       204.853882
  1.999121       210.282394
  2.002795       213.931900
  2.006470       213.405167
  2.010144       206.490387
  2.013818       195.513672
  2.017491       186.454865
  2.021164       181.007721
  2.024837       178.846405
  2.028510       178.298096
  2.032182       177.706299
  2.035854       176.777603
  2.039525       176.344711
  2.043197       176.094086
  2.046868       176.812729
  2.050538       176.951141
  2.054209       177.065506
  2.057878       178.017639
  2.061548       179.498444
  2.065217       181.630295
  2.068887       184.717773
  2.072556       189.607559
  2.076224       196.617355
  2.079892       205.716324
  2.083560       215.038254
  2.087227       223.316559
  2.090894       229.248230
  2.094561       230.928070
  2.098228       226.015945
  2.101894       215.130890
  2.105560       202.134888
  2.109226       191.799866
  2.112891       184.626465
  2.116556       180.008102
  2.120220       176.880676
  2.123885       174.721191
  2.127548       173.373245
  2.131212       172.704239
  2.134876       171.549438
  2.138538       171.421524
  2.142201       171.298431
  2.145863       170.608368
  2.149525       169.866974
  2.153187       169.503571
  2.156848       168.795624
  2.160509       168.410645
  2.164170       168.325226
  2.167830       168.361984
  2.171490       168.198273
  2.175150       167.837875
  2.178809       167.583786
  2.182468       167.340332
  2.186127       166.909821
  2.189785       166.811127
  2.193444       166.229523
  2.197101       165.778732
  2.200758       165.412262
  2.204416       165.605774
  2.208072       165.182144
  2.211728       165.149612
  2.215384       164.617783
  2.219040       164.065948
  2.222696       163.721909
  2.226350       164.119446
  2.230005       163.986084
  2.233659       163.096283
  2.237313       162.747955
  2.240967       162.743103
  2.244620       162.668793
  2.248273       162.820831
  2.251926       162.846375
  2.255578       162.363464
  2.259230       161.811035
  2.262881       161.626129
  2.266532       161.844925
  2.270183       161.943451
  2.273834       161.781433
  2.277484       161.349197
  2.281134       161.115311
  2.284783       160.903198
  2.288432       160.661041
  2.292081       160.243973
  2.295729       160.026489
  2.299377       159.653641
  2.303025       159.759155
  2.306673       159.974625
  2.310319       159.616226
  2.313966       159.098984
  2.317612       159.138641
  2.321258       159.297882
  2.324904       159.012222
  2.328549       158.949646
  2.332194       159.124130
  2.335839       159.082581
  2.339483       158.921082
  2.343127       158.894577
  2.346770       158.410782
  2.350413       158.112228
  2.354056       158.295181
  2.357698       157.980789
  2.361340       158.091522
  2.364982       158.220047
  2.368623       158.417694
  2.372264       158.512878
  2.375905       157.996063
  2.379545       157.749191
