# ENERGY     XMU  I0   THETA
#-------------------
#  my.1      tmp.xafs  my.8      my.2
        0.1819159E+05     0.4202591E+00     0.4741400E+05     0.1022232E+02
        0.1819424E+05     0.4292398E+00     0.4742300E+05     0.1022082E+02
        0.1819688E+05     0.4185568E+00     0.4744700E+05     0.1021931E+02
        0.1819953E+05     0.4202316E+00     0.4806300E+05     0.1021781E+02
        0.1820218E+05     0.4209748E+00     0.4820900E+05     0.1021631E+02
        0.1820482E+05     0.4208037E+00     0.4864800E+05     0.1021481E+02
        0.1820747E+05     0.4236430E+00     0.4851300E+05     0.1021331E+02
        0.1821012E+05     0.4257940E+00     0.4881500E+05     0.1021180E+02
        0.1821278E+05     0.4174721E+00     0.4866700E+05     0.1021030E+02
        0.1821543E+05     0.4114185E+00     0.4853600E+05     0.1020880E+02
        0.1821808E+05     0.4090106E+00     0.4811500E+05     0.1020730E+02
        0.1822073E+05     0.4143066E+00     0.4825400E+05     0.1020579E+02
        0.1822338E+05     0.4096995E+00     0.4797200E+05     0.1020429E+02
        0.1822604E+05     0.4085533E+00     0.4755900E+05     0.1020279E+02
        0.1822870E+05     0.4124528E+00     0.4737200E+05     0.1020129E+02
        0.1823135E+05     0.4062937E+00     0.4724500E+05     0.1019979E+02
        0.1823401E+05     0.4022947E+00     0.4734700E+05     0.1019828E+02
        0.1823667E+05     0.4101534E+00     0.4684500E+05     0.1019678E+02
        0.1823932E+05     0.4039806E+00     0.4688700E+05     0.1019528E+02
        0.1824198E+05     0.4067510E+00     0.4740000E+05     0.1019378E+02
        0.1824464E+05     0.4112448E+00     0.4761400E+05     0.1019228E+02
        0.1824730E+05     0.4121006E+00     0.4793600E+05     0.1019077E+02
        0.1824996E+05     0.4113936E+00     0.4783900E+05     0.1018927E+02
        0.1825263E+05     0.4175565E+00     0.4805200E+05     0.1018777E+02
        0.1825529E+05     0.4198044E+00     0.4763800E+05     0.1018627E+02
        0.1825796E+05     0.4165450E+00     0.4737100E+05     0.1018476E+02
        0.1826062E+05     0.4141017E+00     0.4726400E+05     0.1018326E+02
        0.1826329E+05     0.4130614E+00     0.4647900E+05     0.1018176E+02
        0.1826595E+05     0.4104903E+00     0.4661300E+05     0.1018026E+02
        0.1826862E+05     0.4137636E+00     0.4661400E+05     0.1017876E+02
        0.1827129E+05     0.4019941E+00     0.4651300E+05     0.1017725E+02
        0.1827396E+05     0.4088210E+00     0.4609000E+05     0.1017575E+02
        0.1827663E+05     0.4150121E+00     0.4657300E+05     0.1017425E+02
        0.1827930E+05     0.4147187E+00     0.4618600E+05     0.1017275E+02
        0.1828197E+05     0.4040346E+00     0.4663600E+05     0.1017125E+02
        0.1828464E+05     0.4072758E+00     0.4658500E+05     0.1016974E+02
        0.1828731E+05     0.4120809E+00     0.4696100E+05     0.1016824E+02
        0.1828999E+05     0.4130428E+00     0.4678800E+05     0.1016674E+02
        0.1829266E+05     0.4085127E+00     0.4659800E+05     0.1016524E+02
        0.1829534E+05     0.4153892E+00     0.4687100E+05     0.1016373E+02
        0.1829801E+05     0.4094234E+00     0.4621300E+05     0.1016223E+02
        0.1830069E+05     0.4114371E+00     0.4637600E+05     0.1016073E+02
        0.1830337E+05     0.4088250E+00     0.4582000E+05     0.1015923E+02
        0.1830604E+05     0.4063893E+00     0.4569600E+05     0.1015773E+02
        0.1830872E+05     0.4108939E+00     0.4587100E+05     0.1015622E+02
        0.1831140E+05     0.4098016E+00     0.4535300E+05     0.1015472E+02
        0.1831409E+05     0.4069340E+00     0.4541100E+05     0.1015322E+02
        0.1831677E+05     0.4056561E+00     0.4543100E+05     0.1015172E+02
        0.1831945E+05     0.4047216E+00     0.4547000E+05     0.1015022E+02
        0.1832213E+05     0.4092801E+00     0.4581300E+05     0.1014871E+02
        0.1832481E+05     0.4094681E+00     0.4566400E+05     0.1014721E+02
        0.1832750E+05     0.4100721E+00     0.4602600E+05     0.1014571E+02
        0.1833018E+05     0.4082096E+00     0.4585100E+05     0.1014421E+02
        0.1833287E+05     0.4114552E+00     0.4610100E+05     0.1014270E+02
        0.1833556E+05     0.4090791E+00     0.4569700E+05     0.1014120E+02
        0.1833825E+05     0.4016276E+00     0.4611600E+05     0.1013970E+02
        0.1834094E+05     0.4055511E+00     0.4553300E+05     0.1013820E+02
        0.1834363E+05     0.4058465E+00     0.4572700E+05     0.1013670E+02
